Group_number,site,X_location,Y_location,tree_DBH,neigh_5m,max_neigh_dbh,ground_cover,number_flowers,num_diff_colour,radius,n_neigh_m2
G1,old_wood,2,6,3,17,55,30,0,0,5,0.216450722604978
G1,old_wood,9,4,55,11,19,35,2,2,5,0.140056349920868
G1,old_wood,15,5,33,11,21,1,0,0,5,0.140056349920868
G1,old_wood,12,20,20,100,12,25,4,2,5,1.27323954473516
G1,old_wood,4,18,36,34,4,15,0,0,5,0.432901445209955
G2,mid_wood,4,4,12,3,19,35,0,0,5,0.0381971863420549
G2,mid_wood,21,21,20,6,58,60,0,0,5,0.0763943726841098
G2,mid_wood,30,30,19,7,24,5,0,0,5,0.0891267681314614
G2,mid_wood,18,0,3,7,16,80,0,0,5,0.0891267681314614
G2,mid_wood,9,4,12,2,13.5,70,0,0,5,0.0254647908947032
G2,mid_wood,6,13,10,5,15,1,0,0,5,0.0636619772367581
G2,mid_wood,13,29,14,9,20,4,0,0,5,0.114591559026165
G2,mid_wood,15,23,13,5,22,97,0,0,5,0.0636619772367581
G2,mid_wood,13,2,10,3,11,1,0,0,5,0.0381971863420549
G2,mid_wood,17,11,10,7,15,25,0,0,5,0.0891267681314614
G2,mid_wood,11,22,11,6,13,7,0,0,5,0.0763943726841098
G2,mid_wood,5,12,10,15,14,7,0,0,5,0.190985931710274
G2,mid_wood,0,19,6,6,11,10,0,0,5,0.0763943726841098
G2,mid_wood,5,17,12,10,15,1,0,0,5,0.127323954473516
G2,mid_wood,8,13,6,7,16,50,0,0,5,0.0891267681314614
G3,old_wood,18,10,18,41,30,7,35,1,5,0.522028213341417
G3,old_wood,9,4,68,15,50,25,40,2,5,0.190985931710274
G3,old_wood,2,8,32,31,128,67,117,2,5,0.3947042588679
G3,old_wood,19,18,50,32,30,21,61,2,5,0.407436654315252
G3,old_wood,25,21,42,50,45,9,42,2,5,0.636619772367581
G3,old_wood,15,25,1,19,42,13,27,2,5,0.241915513499681
G3,old_wood,7,9,39,26,4,44,47,1,5,0.331042281631142
G3,old_wood,11,24,3,41,39,11,25,2,5,0.522028213341417
G3,old_wood,19,1,31,35,19,6,14,1,5,0.445633840657307
G3,old_wood,24,14,45,29,35,17,28,2,5,0.369239467973197
G4,old_wood,21,20,45,75,20,35,2,2,5,0.954929658551372
G4,old_wood,19,10,167,73,3.5,80,8,1,5,0.929464867656669
G4,old_wood,28,19,45,78,42,30,6,1,5,0.993126844893427
G4,old_wood,5,24,16,113,19,7,2,1,5,1.43876068555073
G4,old_wood,8,14,32,36,9,3,0,0,5,0.458366236104659
G4,old_wood,7,23,38,17,14,30,0,0,5,0.216450722604978
G5,young_wood,7,6,25,8,38,55,0,0,3,0.282942121052258
G5,young_wood,3,23,10,10,18,25,0,0,3,0.353677651315323
G5,young_wood,3,19,16,8,5.5,60,0,0,3,0.282942121052258
G5,young_wood,3,25,3,6,5,20,0,0,3,0.212206590789194
G5,young_wood,5,21,7,4,24,50,0,0,3,0.141471060526129
G6,old_woodB,8,9,41,10,6,17,0,0,5,0.127323954473516
G6,old_woodB,8,17,56,8,4,29,0,0,5,0.101859163578813
G6,old_woodB,16,24,30,7,3,10,0,0,5,0.0891267681314614
G6,old_woodB,30,27,47,6,50,33,0,0,5,0.0763943726841098
G6,old_woodB,30,4,53,7,37,47,4,1,5,0.0891267681314614
G7,old_woodB,30,18,14,2,19,12,0,0,5,0.0254647908947032
G7,old_woodB,25,30,14,6,16,5,0,0,5,0.0763943726841098
G7,old_woodB,9,23,16,4,11,5,0,0,5,0.0509295817894065
G8,old_woodB,25,14,17,9,14,12,0,0,5,0.114591559026165
G8,old_woodB,23,8,13,9,17,12,0,0,5,0.114591559026165
G8,old_woodB,30,18,14,2,19,13,0,0,5,0.0254647908947032
G8,old_woodB,25,30,14,6,16,4,0,0,5,0.0763943726841098
G8,old_woodB,9,23,16,6,11,4,0,0,5,0.0763943726841098
